rho [g cm^-3],p [dyn cm^-2],nb [fm^-3]
776190.3176520439,1.4419589833248066e+22,4.67962e-10
970261.7580488997,2.0595179942534273e+22,5.84964e-10
1217214.7155218534,2.9503602098252076e+22,7.33846e-10
1529792.8394647217,4.22657400384203e+22,9.2229e-10
1926300.5783573545,6.054801686110656e+22,1.16133e-09
2430417.8043642356,8.67384783614646e+22,1.46524e-09
3072769.7059305576,1.2425776982105953e+23,1.85248e-09
3893189.972250144,1.780066303167856e+23,2.34706e-09
4943326.648169695,2.550040346890799e+23,2.98011e-09
6290525.309805489,3.653090917481022e+23,3.79222e-09
8022443.686603028,5.233253617093227e+23,4.83622e-09
8170836.5781667475,5.376263879839519e+23,4.92567e-09
8433713.679754898,5.3923818041068475e+23,5.08413e-09
11729694.000938224,8.734362088165651e+23,7.07088e-09
16410133.68210326,1.418999782645862e+24,9.89204e-09
23042588.728569582,2.305323981906269e+24,1.38896e-08
32466437.587949857,3.7452801555062366e+24,1.95693e-08
45888178.5268112,6.084650119791911e+24,2.7658e-08
65042091.35544533,9.885237450926955e+24,3.92004e-08
92421780.52660507,1.6059738204671274e+25,5.56984e-08
131613879.65010801,2.6090965839902933e+25,7.93119e-08
187777145.18642268,4.238782653937854e+25,1.13147e-07
268335869.5413276,6.886395407893143e+25,1.61673e-07
270120605.4763524,6.948543853540242e+25,1.62748e-07
279452724.14866924,6.9694041631170975e+25,1.68369e-07
325483814.8134994,8.569578100680887e+25,1.96094e-07
380023821.640847,1.0568774135005011e+26,2.28942e-07
443796333.4286173,1.3034379765202632e+26,2.67348e-07
518372078.10078603,1.607511857688331e+26,3.12257e-07
605589618.2094827,1.9825333752068686e+26,3.64775e-07
707598655.430709,2.4450336973792588e+26,4.26195e-07
826918332.7805941,3.0154406546359188e+26,4.98032e-07
966493887.3482388,3.7189243004001195e+26,5.82057e-07
1129771667.2443364,4.5865029830410364e+26,6.80342e-07
1320790797.3021529,5.6565006541755586e+26,7.95315e-07
1329666585.1580796,5.7075620036725994e+26,8.00657e-07
1374304788.2487268,5.724673283338284e+26,8.27523e-07
1377376925.267143,5.7418486171824085e+26,8.29372e-07
1383541162.3617435,5.7763594206195744e+26,8.33082e-07
1389731996.9051816,5.811062624951727e+26,8.36808e-07
1395951105.0227911,5.845990105074927e+26,8.40551e-07
1402198471.9606886,5.881109757982255e+26,8.44311e-07
1408474097.8952513,5.91645384334082e+26,8.48088e-07
1414777998.1273634,5.952006053921748e+26,8.51882e-07
1421110142.6520514,5.9877666408277744e+26,8.55693e-07
1427470561.962971,6.0237515478549904e+26,8.59521e-07
1433859256.5859027,6.059944763262518e+26,8.63366e-07
1440277871.9997907,6.0963621549734545e+26,8.67229e-07
1446723087.1132026,6.132987913410207e+26,8.71108e-07
1453199884.3146846,6.169854113302719e+26,8.75006e-07
1459703281.4274776,6.206928381182718e+26,8.7892e-07
1492147265.0182524,6.225545753021442e+26,8.98446e-07
1599113821.010553,6.831344746445266e+26,9.62821e-07
1717623979.2297058,7.518582365424868e+26,1.03414e-06
1844932079.476167,8.274953921053481e+26,1.11075e-06
1981735413.3076074,9.107428963621438e+26,1.19307e-06
2128716466.2612324,1.0023649692055458e+27,1.28151e-06
2286640923.768856,1.1032027555093934e+27,1.37653e-06
2456307956.3728695,1.214185528889699e+27,1.47861e-06
2638633129.28875,1.3363338757062688e+27,1.5883e-06
2834515732.6251416,1.470770907782921e+27,1.70614e-06
3045004744.8852673,1.61872713210737e+27,1.83276e-06
3106963424.532087,1.6629632036003616e+27,1.87003e-06
3215504289.819532,1.6679619928017847e+27,1.93532e-06
3636921202.0420165,1.9666878233899718e+27,2.1888e-06
4122942597.291417,2.325879806331323e+27,2.48111e-06
4674099768.800821,2.7506809425525455e+27,2.81256e-06
5299106980.558005,3.2530594626089146e+27,3.18838e-06
6007913286.241621,3.8471946123309196e+27,3.61454e-06
6811736798.109186,4.549845207071406e+27,4.09777e-06
7723315044.756445,5.380830127391513e+27,4.64571e-06
8757155937.648838,6.363573231206663e+27,5.26706e-06
9929622422.85673,7.52580821659723e+27,5.97163e-06
11259350172.004505,8.900315474312814e+27,6.77059e-06
11360881655.979034,9.007613281607096e+27,6.83159e-06
11791876845.377047,9.03462601964346e+27,7.09053e-06
12812974772.585703,1.0093568580013611e+28,7.70397e-06
13953915646.863026,1.1310469834614316e+28,8.38934e-06
15196597820.132925,1.2674066316271323e+28,9.13575e-06
16550120524.831238,1.4202062245800428e+28,9.94865e-06
18024270141.536797,1.5914276267577408e+28,1.08339e-05
19630069364.151527,1.7832866775565187e+28,1.17981e-05
21378963077.055176,1.9982827653024833e+28,1.28481e-05
23283983138.62859,2.2392020722255307e+28,1.39917e-05
25358835573.31469,2.509168937559068e+28,1.52371e-05
27618731629.592857,2.8116758274834606e+28,1.65934e-05
27868181964.619987,2.845561825056615e+28,1.67431e-05
29021298626.516994,2.8541014681884494e+28,1.74351e-05
30975026815.530293,3.113125474936317e+28,1.86075e-05
33134939903.92752,3.4058431275110416e+28,1.99035e-05
35445417597.04975,3.7260700204972828e+28,2.12897e-05
37917331387.99901,4.07643395700072e+28,2.27726e-05
40561890906.54889,4.459722711292355e+28,2.43589e-05
43390812554.01998,4.879060239788397e+28,2.60556e-05
46417482320.71815,5.337811566174536e+28,2.78707e-05
49655296246.413246,5.8397097543800285e+28,2.98122e-05
53119154683.961334,6.38880765452465e+28,3.1889e-05
56824967559.937904,6.989527493725385e+28,3.41106e-05
57726299898.1455,7.137632552624119e+28,3.46509e-05
60344597316.895164,7.159053932145475e+28,3.62204e-05
63976708389.26536,7.738897675466903e+28,3.83975e-05
67980114741.7419,8.390823455238609e+28,4.07969e-05
72234435959.82555,9.097655462719289e+28,4.33464e-05
76755091079.96884,9.86404065348876e+28,4.60552e-05
81558841738.7373,1.0694977896906624e+29,4.89333e-05
86663459974.49556,1.159592977144761e+29,5.19913e-05
92088060787.26785,1.2572760866694673e+29,5.52406e-05
97852270396.09029,1.3631879444568585e+29,5.86929e-05
103977562982.4687,1.4780223915058556e+29,6.2361e-05
110486589889.30377,1.6025290756351486e+29,6.62584e-05
113579482495.71762,1.607335636389623e+29,6.81102e-05
114348285250.82593,1.6218514095262383e+29,6.85705e-05
115381501654.18668,1.641397963772423e+29,6.91891e-05
116424091162.92863,1.661184784889505e+29,6.98133e-05
117476054297.78448,1.6812120039291246e+29,7.04431e-05
118537725156.54694,1.701479594879143e+29,7.10787e-05
119608770723.04709,1.7219874118230863e+29,7.17199e-05
120689691860.18254,1.742735583342838e+29,7.2367e-05
121780155589.917,1.7637401354461816e+29,7.30198e-05
122880662814.4013,1.7850010500447016e+29,7.36786e-05
123991047291.00812,1.806518242601792e+29,7.43433e-05
125111476412.33392,1.8282918162329002e+29,7.5014e-05
125675458563.73817,1.8392827380881128e+29,7.53516e-05
131577263006.80598,1.8448102793715456e+29,7.88844e-05
137012551296.41035,1.9469970286959632e+29,8.21378e-05
142993663592.57315,2.0610239932142333e+29,8.57176e-05
149236155265.50632,2.181731934530828e+29,8.94535e-05
155751113270.00043,2.309505609915238e+29,9.33521e-05
162550961141.12134,2.444761393086383e+29,9.74208e-05
169648133031.0547,2.587947925221195e+29,0.000101667
177054896749.6403,2.739513692287188e+29,0.000106098
184785033501.24875,2.899955662072599e+29,0.000110722
192853660560.6676,3.06978645750913e+29,0.000115548
201274234796.51,3.249566670155371e+29,0.000120584
204468123153.59613,3.318428189869998e+29,0.000122494
211404508140.40802,3.328393854009543e+29,0.000126642
215242362175.66647,3.4091114275994726e+29,0.000128937
219643967377.11438,3.502278001627123e+29,0.000131569
224136093532.74124,3.5979760693034244e+29,0.000134255
228720423216.76483,3.6962856445086826e+29,0.000136996
233396967296.09897,3.7973028889215606e+29,0.000139792
238170753157.1463,3.9010597211994895e+29,0.000142646
243041792542.35764,4.007668718463103e+29,0.000145558
248011772192.98703,4.117177439166044e+29,0.000148529
253084043926.03278,4.229682184821753e+29,0.000151561
258260292827.43735,4.345263223532702e+29,0.000154655
263542210016.72696,4.464016484303062e+29,0.000157812
268496337116.61218,4.477410649078384e+29,0.000160773
269100339579.52075,4.490836904721093e+29,0.000161134
269707690024.67868,4.504311284978606e+29,0.000161497
270315045530.20822,4.517817615003014e+29,0.00016186
270922406096.1096,4.5313721226181944e+29,0.000162223
271533114746.1863,4.544974671121631e+29,0.000162588
272145498600.36526,4.558609004002476e+29,0.000162954
272757887542.50098,4.572275632630644e+29,0.00016332
273371951689.39725,4.5859903622479194e+29,0.000163687
273987694002.16577,4.599753024813209e+29,0.000164055
274605111574.8489,4.613547643916193e+29,0.000164424
279931012826.4016,4.627390661088681e+29,0.000167607
283096820124.3575,4.69722935396724e+29,0.000169499
286943755480.11383,4.782401258051337e+29,0.000171798
290842695086.4181,4.86914298674886e+29,0.000174128
294795314526.6699,4.957438966180343e+29,0.00017649
298799945653.1925,5.0473529822371846e+29,0.000178883
302861608141.79803,5.1388855481670615e+29,0.00018131
306976963550.5943,5.232084111633102e+29,0.000183769
311147694418.9576,5.3269649407491225e+29,0.000186261
315377140949.9168,5.423576293116995e+29,0.000188788
319661971213.8063,5.521933801270268e+29,0.000191348
324005532298.20123,5.622086023488098e+29,0.000193943
326199964813.98926,5.672826670232629e+29,0.000195254
332393329070.6981,5.689841839053668e+29,0.000198954
337669524303.0066,5.8104216711618224e+29,0.000202106
343801357482.0127,5.951333257845046e+29,0.000205769
350043961278.7748,6.095689142185058e+29,0.000209498
356400696570.52216,6.2435222477453064e+29,0.000213295
362873250339.90173,6.394943933623677e+29,0.000217161
369463305954.31445,6.550050473494187e+29,0.000221097
376172554909.9328,6.70890633384486e+29,0.000225104
383004360615.7815,6.871623263209854e+29,0.000229184
389960403604.0712,7.038281829231384e+29,0.000233338
397042381197.3836,7.208993724051798e+29,0.000237567
399731911057.0124,7.27407400142768e+29,0.000239173
407212804954.57135,7.295895857034253e+29,0.00024364
408128873125.6689,7.317781386184397e+29,0.000244187
409969390966.7502,7.361745458727817e+29,0.000245286
411818307553.3072,7.405981549981733e+29,0.00024639
413675618793.04144,7.450489850513845e+29,0.000247499
415541329467.6513,7.495254606523456e+29,0.000248613
417415430929.79767,7.540291774887149e+29,0.000249732
419297932396.4119,7.585601510258225e+29,0.000250856
421188829698.27606,7.631183147869571e+29,0.000251985
423088127701.0002,7.67703761845283e+29,0.000253119
424995817597.7471,7.723180112768579e+29,0.000254258
426911908769.7188,7.769579431693708e+29,0.000255402
427874986585.2382,7.792891103889359e+29,0.000255977
451397763457.1124,8.237494872895293e+29,0.00027
507933948276.3407,8.766805981488918e+29,0.00030375
571544313067.568,9.28495025775105e+29,0.000341719
643112823304.9906,9.844237601184351e+29,0.000384434
723634568335.5417,1.0469679781799502e+30,0.000432488
814230817728.6774,1.1183705587436103e+30,0.000486549
916160782715.8087,1.2008106018938248e+30,0.000547367
1030845149487.3552,1.296774535380014e+30,0.000615788
1159879627498.7263,1.4091143738272692e+30,0.000692762
1305058560206.0247,1.5411032733946666e+30,0.000779357
1468405249424.3772,1.6966410289900745e+30,0.000876777
1652192303410.07,1.8803304851661918e+30,0.000986374
1858978754285.6003,2.0975376226415354e+30,0.00110967
2091648940188.113,2.354622868273198e+30,0.00124838
2353442997032.132,2.659292832987507e+30,0.00140443
2647995938905.9443,3.0203272969347825e+30,0.00157998
2979431989258.6807,3.4481404424296785e+30,0.00177748
3352348480479.537,3.955037231195997e+30,0.00199966
3771967456478.3184,4.555260683166812e+30,0.00224962
4244119649299.2935,5.26564972644527e+30,0.00253082
4775413338345.556,6.105494589635327e+30,0.00284718
5373218413714.295,7.097097799737958e+30,0.00320307
6045919534878.917,8.266558466192348e+30,0.00360346
6802867346879.611,9.643821694433775e+30,0.00405389
7654632018680.632,1.126283714420031e+31,0.00456062
8613122252553.887,1.3162345967637256e+31,0.0051307
9691705496908.176,1.5386487502978905e+31,0.00577204
10905445473361.762,1.7984752965579562e+31,0.00649355
12271272468701.883,2.1012386546362688e+31,0.00730524
13808273491369.621,2.453108622047754e+31,0.00821839
15537929211359.803,2.860878668829571e+31,0.00924569
17484388277292.062,3.3320147778967604e+31,0.0104014
19674891781648.508,3.8746718791191305e+31,0.0117016
22139962427227.176,4.497630181238706e+31,0.0131643
24914016000117.316,5.21043859391483e+31,0.0148098
28035888783366.3,6.023463140193874e+31,0.016661
31549348692456.137,6.952677636789164e+31,0.0187437
35503105437664.805,8.002119108080448e+31,0.0210866
39952836113951.67,9.18348425299727e+31,0.0237225
44960356275263.555,1.0526332450518173e+32,0.0266878
50595657246579.59,1.2047391006357925e+32,0.0300237
56937765050819.55,1.378770736283754e+32,0.0337767
64075108981394.5,1.5773380922693851e+32,0.0379988
72107416162017.72,1.8068707328546706e+32,0.0427486
81147289132312.44,2.083053961754795e+32,0.0480922
91321162855921.03,2.4181171254071966e+32,0.0541037
102771969746826.39,2.8472922043484105e+32,0.0608667
109772961680098.6,3.1430380162821178e+32,0.065
110653884327878.05,3.182259206074451e+32,0.06552
111467072153410.08,3.2188208717353665e+32,0.066
112437003859821.34,3.26288077899806e+32,0.0665725
113161301299827.08,3.296093887643249e+32,0.067
114248890732732.4,3.346562503951432e+32,0.0676419
114391214367695.23,3.3539164599642196e+32,0.0677259
114533545161386.94,3.359908572639026e+32,0.0678099
114675874652991.55,3.366573665726885e+32,0.0678939
114818708330809.95,3.3739597145937595e+32,0.0679782
114961381496392.39,3.379903752030764e+32,0.0680624
115104389959683.55,3.386680967332281e+32,0.0681468
115165898723357.34,3.389564922991764e+32,0.0681831
116090059382269.72,3.433192197056334e+32,0.0687285
116234430427768.02,3.4401296211286914e+32,0.0688137
116794979042677.88,3.466837819406589e+32,0.0691445
116982565989243.44,3.475762030758924e+32,0.0692552
117921367847104.61,3.520831250267237e+32,0.0698092
118867831629409.72,3.5665733743944324e+32,0.0703677
119821958196077.16,3.612876288693402e+32,0.0709307
120783576975648.08,3.659403526295166e+32,0.0714981
121753126876205.73,3.7059466557808976e+32,0.0720701
122730556149449.3,3.746161304298682e+32,0.0726466
123715848429746.9,3.7945951374700484e+32,0.0732278
124708850684307.89,3.843349414622211e+32,0.0738136
125710029975601.52,3.89197546428156e+32,0.0744042
126719050723993.55,3.9404252563633115e+32,0.0749994
136479072888106.47,4.28872888566979e+32,0.0807555
138175105317139.58,4.4282746195795406e+32,0.0817555
139871330868672.5,4.5725850937124036e+32,0.0827555
141567753702005.3,4.7217706052451975e+32,0.0837555
143264378024043.3,4.875941723297788e+32,0.0847555
