R[km]   ;M [M_solar]
39.1028 ;   0.110667
29.1956 ;   0.126633
23.4371 ;   0.1469
20.3154 ;   0.169897
18.4874 ;   0.194162
17.3302 ;   0.218761
16.547  ;   0.243515
15.9767 ;   0.268796
15.542  ;   0.294996
15.203  ;   0.322391
14.94   ;   0.351063
14.7451 ;   0.38081
14.5885 ;   0.411298
14.4609 ;   0.442258
14.3739 ;   0.473507
14.2981 ;   0.504962
14.2363 ;   0.536635
14.1925 ;   0.568569
14.1539 ;   0.600797
14.1197 ;   0.633328
14.0975 ;   0.666141
14.0732 ;   0.699168
14.0634 ;   0.732321
14.0535 ;   0.765527
14.0433 ;   0.798726
14.0407 ;   0.831875
14.0324 ;   0.864938
14.0311 ;   0.897887
14.0246 ;   0.930694
14.0246 ;   0.963333
14.021  ;   0.995779
14.0163 ;   1.08749
13.9978 ;   1.22988
13.972  ;   1.36338
13.9359 ;   1.48671
13.8893 ;   1.59922
13.833  ;   1.70078
13.7687 ;   1.79166
13.6982 ;   1.87238
13.623  ;   1.94367
13.5444 ;   2.00636
13.4636 ;   2.06136
13.381  ;   2.10972
13.2961 ;   2.15251
13.2088 ;   2.19056
13.12   ;   2.22419
13.0319 ;   2.25339
12.9459 ;   2.27826
12.8617 ;   2.29925
12.7777 ;   2.31711
12.6924 ;   2.33248
12.6058 ;   2.34571
12.5201 ;   2.35684
12.4386 ;   2.36579
12.3638 ;   2.37261
12.2965 ;   2.37755
12.2354 ;   2.38099
12.1785 ;   2.3833
12.1238 ;   2.38475
12.0702 ;   2.38554
12.0169 ;   2.38574
11.9642 ;   2.38544
11.9129 ;   2.3847
11.8638 ;   2.38359
11.8173 ;   2.38217
11.7734 ;   2.38048
11.7315 ;   2.37856
11.6911 ;   2.37641
11.6517 ;   2.37406
11.6131 ;   2.37152
11.5752 ;   2.36881
11.5382 ;   2.36597
11.5023 ;   2.36304
11.4676 ;   2.36003
11.434  ;   2.35696
11.4014 ;   2.35384
11.3698 ;   2.35065
11.3389 ;   2.34741
11.3086 ;   2.34411
11.2787 ;   2.34075
11.249  ;   2.33732
11.2196 ;   2.33383
11.1907 ;   2.33031
11.1626 ;   2.32677
11.1357 ;   2.32326
11.1098 ;   2.31976
11.0847 ;   2.31629
11.0602 ;   2.31283
11.0362 ;   2.30938
11.0126 ;   2.30594
10.9894 ;   2.3025
10.9668 ;   2.29907
10.9446 ;   2.29565
10.9229 ;   2.29223
10.9016 ;   2.28883
10.8807 ;   2.28545
10.86   ;   2.28208
10.8396 ;   2.27872
10.8194 ;   2.27538
10.7994 ;   2.27206
10.7797 ;   2.26875
10.7606 ;   2.26547
10.7422 ;   2.2622
10.7244 ;   2.25896
10.7071 ;   2.25573
10.6899 ;   2.25253
10.6727 ;   2.24934
10.6557 ;   2.24618
10.6388 ;   2.24304
10.6222 ;   2.23993
10.606  ;   2.23683
10.5903 ;   2.23376
10.5752 ;   2.23071
10.5603 ;   2.22768
10.5451 ;   2.22467
10.5298 ;   2.22169
10.5155 ;   2.21873
10.5024 ;   2.21579
10.4892 ;   2.21288
10.4752 ;   2.20999
10.4602 ;   2.20712
10.4452 ;   2.20427
10.4321 ;   2.20144
