rho [g cm^-3],p [dyn cm^-2],nb [fm^-3]
3.4951E11,6.2150E29,2.0905E-4
3.6883E11,6.4304E29,2.2059E-4
3.8650E11,6.5813E29,2.3114E-4
4.4199E11,6.9945E29,2.6426E-4
5.1080E11,7.4685E29,3.0533E-4
5.9119E11,8.0149E29,3.5331E-4
6.8224E11,8.6443E29,4.0764E-4
7.8339E11,9.3667E29,4.6800E-4
8.9426E11,1.0191E30,5.3414E-4
1.0146E12,1.1128E30,6.0594E-4
1.2831E12,1.3370E30,7.6608E-4
1.7543E12,1.7792E30,1.0471E-3
2.1141E12,2.1547E30,1.2616E-3
2.7232E12,2.8565E30,1.6246E-3
3.4178E12,3.7461E30,2.0384E-3
4.4827E12,5.2679E30,2.6726E-3
5.7153E12,7.2304E30,3.4064E-3
7.5106E12,1.0405E31,4.4746E-3
9.6148E12,1.4513E31,5.7260E-3
1.2593E13,2.0894E31,7.4963E-3
1.6774E13,3.0720E31,9.9795E-3
2.1042E13,4.1574E31,1.2513E-2
2.7844E13,6.0234E31,1.6547E-2
3.6043E13,8.4613E31,2.1405E-2
4.0688E13,9.9286E31,2.4157E-2
4.7001E13,1.2023E32,2.7894E-2
5.3843E13,1.4430E32,3.1941E-2
6.1153E13,1.7175E32,3.6264E-2
6.7284E13,1.9626E32,3.9888E-2
7.5224E13,2.3024E32,4.4578E-2
8.1738E13,2.6018E32,4.8425E-2
8.8350E13,2.9261E32,5.2327E-2
9.5022E13,3.2756E32,5.6264E-2
1.0173E14,3.6505E32,6.0219E-2
1.0845E14,4.0509E32,6.4183E-2
1.1351E14,4.3681E32,6.7163E-2
1.1859E14,4.6998E32,7.0154E-2
1.2372E14,5.0462E32,7.3174E-2
1.2720E14,5.2856E32,7.5226E-2
1.2845E14,5.3739E32,7.5959E-2
1.3531E14,5.8260E32,0.0800
1.4381E14,6.6828E32,0.0850
1.5232E14,7.6443E32,0.0900
1.6935E14,9.9146E32,0.1000
1.8641E14,1.2701E33,0.1100
2.0350E14,1.6063E33,0.1200
2.2063E14,1.9971E33,0.1300
2.7223E14,3.5927E33,0.1600
3.2424E14,5.9667E33,0.1900
3.7675E14,9.2766E33,0.2200
4.2983E14,1.3668E34,0.2500
4.8358E14,1.9277E34,0.2800
5.3808E14,2.6235E34,0.3100
5.9340E14,3.4670E34,0.3400
6.4963E14,4.4702E34,0.3700
7.0684E14,5.6451E34,0.4000
7.6510E14,7.0033E34,0.4300
8.2450E14,8.5561E34,0.4600
8.8509E14,1.0315E35,0.4900
9.4695E14,1.2289E35,0.5200
1.0102E15,1.4491E35,0.5500
1.0748E15,1.6930E35,0.5800
1.1408E15,1.9616E35,0.6100
1.2085E15,2.2559E35,0.6400
1.2777E15,2.5769E35,0.6700
1.3486E15,2.9255E35,0.7000
1.4706E15,3.5702E35,0.7500
1.5977E15,4.2981E35,0.8000
1.7302E15,5.1129E35,0.8500
1.8683E15,6.0183E35,0.9000
2.0123E15,7.0176E35,0.9500
2.1624E15,8.1139E35,1.0000
2.4820E15,1.0609E36,1.1000
2.8289E15,1.3524E36,1.2000
3.2048E15,1.6876E36,1.3000
3.6113E15,2.0679E36,1.4000
4.0498E15,2.4947E36,1.5000
